node14.cluster | 97920 | 2020-02-05 02:49:32.004349 +0100 GMT | run_post_imputation | target run_post_imputation
node13.cluster | 145435 | 2020-02-05 02:49:32.013999 +0100 GMT | run_post_imputation | build on an hpc worker
node14.cluster | 97920 | 2020-02-05 09:43:46.117896 +0100 GMT |  | end make()
node14.cluster | 97920 | 2020-02-05 10:29:49.917898 +0100 GMT |  | begin drake_config()
node14.cluster | 97920 | 2020-02-05 10:29:49.934561 +0100 GMT |  | cache /data/sgg2/jenny/projects/PSYMETAB/.drake
node14.cluster | 97920 | 2020-02-05 10:29:49.943228 +0100 GMT |  | analyze environment
node14.cluster | 97920 | 2020-02-05 10:29:49.996744 +0100 GMT |  | analyze imports
node14.cluster | 97920 | 2020-02-05 10:29:50.344682 +0100 GMT |  | get knitr hash
node14.cluster | 97920 | 2020-02-05 10:29:50.358500 +0100 GMT |  | analyze commands
node14.cluster | 97920 | 2020-02-05 10:29:50.396480 +0100 GMT |  | set knitr files
node14.cluster | 97920 | 2020-02-05 10:29:50.406020 +0100 GMT |  | create graph edges
node14.cluster | 97920 | 2020-02-05 10:29:50.412503 +0100 GMT |  | connect output files
node14.cluster | 97920 | 2020-02-05 10:29:50.413513 +0100 GMT | file analysis/QC/09_extract_typed | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.414786 +0100 GMT | file analysis/QC/08_plink_convert | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.416036 +0100 GMT | file analysis/QC/14_mafcheck | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.417337 +0100 GMT | file analysis/QC/12_ethnicity_admixture | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.418511 +0100 GMT | file analysis/QC/10_merge_imputed | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.419595 +0100 GMT | file analysis/QC/13_hwecheck | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.420613 +0100 GMT | file analysis/QC/11_relatedness | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.421859 +0100 GMT | file analysis/QC/07_imputation_check | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.423482 +0100 GMT | file analysis/QC/07_imputation_check | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.425714 +0100 GMT | file analysis/QC/06_download_imputation | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.426846 +0100 GMT | file docs/generated_reports/CrossCohortReport.html | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.428081 +0100 GMT | file docs/generated_reports/07_imputation_check.html | file_out
node14.cluster | 97920 | 2020-02-05 10:29:50.436548 +0100 GMT |  | finalize graph edges
node14.cluster | 97920 | 2020-02-05 10:29:50.437449 +0100 GMT |  | create igraph
node14.cluster | 97920 | 2020-02-05 10:29:50.438924 +0100 GMT |  | trim neighborhoods
node14.cluster | 97920 | 2020-02-05 10:29:50.443126 +0100 GMT |  | add igraph attributes
node14.cluster | 97920 | 2020-02-05 10:29:50.447676 +0100 GMT |  | finalize igraph
node14.cluster | 97920 | 2020-02-05 10:29:50.456022 +0100 GMT |  | end drake_config()
node14.cluster | 97920 | 2020-02-05 10:29:50.457056 +0100 GMT |  | begin make()
node14.cluster | 97920 | 2020-02-05 10:29:50.649982 +0100 GMT | processx::run | import
node14.cluster | 97920 | 2020-02-05 10:29:50.661161 +0100 GMT | file code/post_imputation_qc.sh | import
node14.cluster | 97920 | 2020-02-05 10:29:50.780815 +0100 GMT | file code/final_processing.sh | import
node14.cluster | 97920 | 2020-02-05 10:29:50.843589 +0100 GMT | file code/check_imputation.sh | import
node14.cluster | 97920 | 2020-02-05 10:29:50.872922 +0100 GMT | file code/download_imputation.sh | import
node14.cluster | 97920 | 2020-02-05 10:29:50.917387 +0100 GMT |  | begin outdated()
node14.cluster | 97920 | 2020-02-05 10:29:50.941094 +0100 GMT |  | find more outdated targets
node14.cluster | 97920 | 2020-02-05 10:29:50.949089 +0100 GMT | download_imputation | trigger command
node14.cluster | 97920 | 2020-02-05 10:29:50.950195 +0100 GMT |  | find downstream outdated targets
node14.cluster | 97920 | 2020-02-05 10:29:50.955882 +0100 GMT |  | end outdated()
node14.cluster | 97920 | 2020-02-05 10:29:50.956882 +0100 GMT |  | isolate oudated targets
node14.cluster | 97920 | 2020-02-05 10:29:50.959368 +0100 GMT |  | construct priority queue
